"facility","latitude","longitude","keph_level","county","subcounty","ward","facility_status","facility_type","facility_owner",".original_row",".remove_reason",".matched_county",".county_match"
"Iresteno Dispensary",3.4670689,39.6117978,"Level 2","Mandera","Mandera West","Dandu","open","Dispensary","Government/Public Entity",8871,"CSV county does not match spatial county","Wajir",FALSE
"Kimoriot Dispensary",0.2284655,36.3096817,"Level 2","Baringo","Marigat","Mochongoi","open","Dispensary","Government/Public Entity",8919,"CSV county does not match spatial county","Laikipia",FALSE
"New life (F) Medical Clinic",-1.0878906,35.872474,"Level 2","Kilifi","Kilifi South","Mtepeni","open","Medical Clinic","Private",9020,"CSV county does not match spatial county","Narok",FALSE
"Mary Immaculate Catholic Dispensary( Makutano)",-0.7543019,37.2793541,"Level 2","Kirinyaga","Kirinyaga North/Mwea West","Mutithi","open","Dispensary","Faith Based",9076,"CSV county does not match spatial county","Embu",FALSE
"Ochore Dispensary",-0.0183203,34.5389992,"Level 2","Vihiga","Luanda","Luanda South","open","Dispensary","Government/Public Entity",9079,"CSV county does not match spatial county","Kisumu",FALSE
"Helfen Medical Centre",-1.2573067,36.7035683,"Level 2","Kiambu","Kabete","Uthiru","open","Medical Clinic","Private",9346,"CSV county does not match spatial county","Nairobi",FALSE
"ALFOMBIU MEDICAL CLINIC",-0.9728253,34.677558,"Level 2","Kisii","South Mugirango","Borabu/Chitago","open","Medical Clinic","Private",9383,"CSV county does not match spatial county","Narok",FALSE
"Leilan Medical Centre",-0.7562803,37.277096,"Level 2","Kirinyaga","Kirinyaga North/Mwea West","Mutithi","open","Medical Clinic","Private",9604,"CSV county does not match spatial county","Embu",FALSE
"Ngaremara GOK Dispensary",0.495236,37.6504659,"Level 2","Isiolo","Isiolo","Ngare Mara","open","Dispensary","Government/Public Entity",9616,"CSV county does not match spatial county","Meru",FALSE
"Josmed  Clinic",-1.25578,36.7226233,"Level 2","Kiambu","Kabete","Uthiru","open","Medical Clinic","Private",9647,"CSV county does not match spatial county","Nairobi",FALSE
"Malik Healthcare",-1.2853448,36.985026,"Level 2","Kajiado","Kajiado North","Ongata Rongai","open","Medical Clinic","Private",9650,"CSV county does not match spatial county","Machakos",FALSE
"Lekuru Dispensary",0.8558242,36.818302,"Level 2","Samburu","Samburu Central","Lodokejek","open","Dispensary","Government/Public Entity",9701,"CSV county does not match spatial county","Laikipia",FALSE
"Harshilmi Health Centre",3.6003414,39.7381929,"Level 3","Mandera","Mandera West","Gither","open","Health Center","Government/Public Entity",9922,"CSV county does not match spatial county","Wajir",FALSE
"Equity Afia Medical Clinic Nanyuki",0.0062249,37.0730523,"Level 2","Laikipia","Laikipia East","Nanyuki","open","Medical Center","Private",10006,"CSV county does not match spatial county","Nyeri",FALSE
"Elephant Dental Githurai Branch",-1.2036326,36.9162152,"Level 2","Nairobi","Roysambu","Githurai","open","other","Private",10120,"CSV county does not match spatial county","Kiambu",FALSE
"Tonya Dispensry",-0.0940047,37.8452598,"Level 2","Tharaka Nithi","Tharaka South","Marimanti","open","Dispensary","Government/Public Entity",10122,"CSV county does not match spatial county","Meru",FALSE
"Elite Dental Clinic-Nanyuki",0.0098079,37.0740965,"Level 2","Laikipia","Laikipia East","Nanyuki","open","other","Private",10306,"CSV county does not match spatial county","Nyeri",FALSE
"Maili Nane Dispensary",0.0549493,37.1734812,"Level 2","Laikipia","Laikipia East","Umande","open","Dispensary","Government/Public Entity",10340,"CSV county does not match spatial county","Meru",FALSE
"Family Bliss Medical Centre",-0.4027511,37.5040127,"Level 2","Nyeri","Mathira West","Kirimukuyu","open","Medical Center","Private",11107,"CSV county does not match spatial county","Embu",FALSE
"Leben Medical Service Shamberere",0.376105,34.8442117,"Level 2","Nyeri","Mathira West","Kirimukuyu","open","Medical Center","Private",11312,"CSV county does not match spatial county","Kakamega",FALSE
